ID,Name,Country,Latitude,Longitude,cyan,magenta,yellow,black,earthResonance,activeLayer,layerFrequency,layerDepth,tectonicZone,tectonicAmplification,isDeepSubduction,pWaveVelocity,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase,compositeResonance,earthSpaceCoupling,timestamp,nearbyEarthquakes
160,La Place forte de Mont-Dauphin,France,44.6667,6.6167,0.6953,0.6109,0.8004,0.5556,0.4812,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3675,0.3862,0.3093,0.1658,90.0,84.3357,-10.511,-20.0464,107.8667,21.9852,0.1845,0.5665,0.3235,0.0798,2026-02-23T18:45:45.940444,0
161,Villefranche-de-Conflent,France,42.5833,2.3667,0.6953,0.6169,0.806,0.5556,0.4833,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3724,0.3601,0.3103,0.1641,90.0,84.3614,-10.511,-17.09,103.6167,21.8926,0.1845,0.5665,0.3237,0.0793,2026-02-23T18:45:45.940444,0
162,Neuf-Brisach,France,48.0178,7.5281,0.6953,0.6107,0.7846,0.5556,0.479,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.367,0.4284,0.3044,0.1711,90.0,84.2379,-10.511,-20.3231,108.7781,22.1341,0.1845,0.5665,0.3251,0.082,2026-02-23T18:45:45.940444,0
163,Citadelle de Lille,France,50.6333,3.0667,0.6953,0.5064,0.7676,0.4073,0.4515,upper_crust,20.8,10,,1.0,False,6.3857,0.3723,0.461,0.2981,0.1769,90.0,84.1125,-10.511,-17.1723,104.3167,22.2504,0.1845,0.5665,0.3142,0.0799,2026-02-23T18:45:45.940444,0
164,Fort de l'Étoile,France,44.2,5.95,0.6953,0.6118,0.8021,0.5556,0.4817,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3682,0.3804,0.3097,0.1653,90.0,84.3442,-10.511,-19.6102,107.2,21.9644,0.1845,0.5665,0.3235,0.0796,2026-02-23T18:45:45.940444,0
165,Fort Barraux,France,45.4167,5.9667,0.6953,0.6122,0.7962,0.5556,0.4809,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3684,0.3959,0.3078,0.1673,90.0,84.3069,-10.511,-19.5244,107.2167,22.0185,0.1845,0.5665,0.3241,0.0805,2026-02-23T18:45:45.940444,0
166,Fort de Joux,France,46.8667,6.3667,0.6953,0.6121,0.7894,0.5556,0.48,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3681,0.4141,0.3057,0.1695,90.0,84.2648,-10.511,-19.6683,107.6167,22.083,0.1845,0.5665,0.3247,0.0814,2026-02-23T18:45:45.940444,0
167,Fort de Douaumont,France,49.3167,5.4667,0.6953,0.6145,0.7764,0.5556,0.4787,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3695,0.4446,0.3014,0.1739,90.0,84.1774,-10.511,-18.826,106.7167,22.1919,0.1845,0.5665,0.3263,0.0832,2026-02-23T18:45:45.940444,0
168,Komárno Star Fort,Slovakia,47.7667,18.1167,0.7136,0.6037,0.7908,0.5556,0.4843,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3553,0.4248,0.3076,0.1675,90.0,84.3378,-10.511,-27.3329,119.3667,22.123,0.1845,0.5665,0.3259,0.0811,2026-02-23T18:45:45.940444,2
169,Festung Ehrenbreitstein,Germany,50.3667,7.6167,0.6953,0.4988,0.7729,0.4073,0.4509,upper_crust,20.8,10,,1.0,False,6.3857,0.3674,0.4572,0.3006,0.1751,90.0,84.1611,-10.511,-20.0779,108.8667,22.2385,0.1845,0.5665,0.313,0.079,2026-02-23T18:45:45.940444,0
170,Festung Ulm,Germany,48.4,9.9833,0.6953,0.6068,0.7844,0.5556,0.4782,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3644,0.4329,0.3047,0.171,90.0,84.2468,-10.511,-21.8905,111.2333,22.1511,0.1845,0.5665,0.3246,0.0818,2026-02-23T18:45:45.940444,0
171,Festung Ingolstadt,Germany,48.7667,11.4333,0.7082,0.6046,0.7834,0.5556,0.4818,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3629,0.4373,0.3046,0.1712,90.0,84.2474,-10.511,-22.7746,112.6833,22.1674,0.1845,0.5665,0.3265,0.0825,2026-02-23T18:45:45.940444,1
172,Festung Germersheim,Germany,49.2167,8.3667,0.6953,0.6097,0.7792,0.5556,0.4781,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3664,0.4431,0.3028,0.1729,90.0,84.2059,-10.511,-20.7166,109.6167,22.1874,0.1845,0.5665,0.3255,0.0827,2026-02-23T18:45:45.940444,0
173,Festung Landau,Germany,49.2,8.1167,0.6953,0.6101,0.7791,0.5556,0.4782,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3666,0.4429,0.3027,0.1729,90.0,84.2043,-10.511,-20.5571,109.3667,22.1867,0.1845,0.5665,0.3256,0.0827,2026-02-23T18:45:45.940444,0
174,Festung Rastatt,Germany,48.85,8.2,0.6953,0.6099,0.781,0.5556,0.4784,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3665,0.4386,0.3033,0.1723,90.0,84.2166,-10.511,-20.6587,109.45,22.1711,0.1845,0.5665,0.3254,0.0824,2026-02-23T18:45:45.940444,0
175,Zitadelle Spandau,Germany,52.5333,13.2,0.6953,0.4912,0.765,0.4073,0.4484,upper_crust,20.8,10,,1.0,False,6.3857,0.3624,0.4827,0.2988,0.1774,90.0,84.1357,-10.511,-23.1003,114.45,22.3348,0.1845,0.5665,0.3129,0.0795,2026-02-23T18:45:45.940444,0
176,Festung Küstrin,Poland,52.5833,14.65,0.6953,0.4912,0.7653,0.4073,0.4484,upper_crust,20.8,10,,1.0,False,6.3857,0.361,0.4832,0.2991,0.1771,90.0,84.1465,-10.511,-23.9437,115.9,22.337,0.1845,0.5665,0.3128,0.0794,2026-02-23T18:45:45.940444,0
177,Festung Silberberg,Poland,50.5833,16.65,0.7082,0.4912,0.7761,0.4073,0.4544,upper_crust,20.8,10,,1.0,False,6.3857,0.3581,0.4594,0.3027,0.1729,90.0,84.2322,-10.511,-25.6619,117.9,22.2481,0.1845,0.5665,0.3136,0.0786,2026-02-23T18:45:45.940444,1
178,Twierdza K?odzko,Poland,50.4333,16.65,0.7082,0.4912,0.7769,0.4073,0.4545,upper_crust,20.8,10,,1.0,False,6.3857,0.3581,0.4576,0.303,0.1727,90.0,84.2372,-10.511,-25.7017,117.9,22.2415,0.1845,0.5665,0.3136,0.0785,2026-02-23T18:45:45.940444,1
179,Twierdza Nysa,Poland,50.4667,17.3333,0.7082,0.4912,0.7768,0.4073,0.4545,upper_crust,20.8,10,,1.0,False,6.3857,0.3574,0.458,0.303,0.1725,90.0,84.242,-10.511,-26.1117,118.5833,22.243,0.1845,0.5665,0.3135,0.0784,2026-02-23T18:45:45.940444,1
180,Twierdza Modlin,Poland,52.45,20.6833,0.6953,0.4912,0.7668,0.4073,0.4486,upper_crust,20.8,10,,1.0,False,6.3857,0.3551,0.4818,0.3,0.1753,90.0,84.2032,-10.511,-27.4891,121.9333,22.3311,0.1845,0.5665,0.312,0.0786,2026-02-23T18:45:45.940444,0
181,Twierdza Przemy?l,Poland,49.7833,22.7667,0.7082,0.6037,0.7803,0.5556,0.4812,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3515,0.45,0.3044,0.1698,90.0,84.3116,-10.511,-29.6338,124.0167,22.2126,0.1845,0.5665,0.3255,0.0817,2026-02-23T18:45:45.940444,1
182,Twierdza Boyen,Poland,54.0333,21.7667,0.6953,0.4912,0.7585,0.4073,0.4474,upper_crust,20.8,10,,1.0,False,6.3857,0.355,0.5002,0.2974,0.178,90.0,84.1571,-10.511,-27.5353,123.0167,22.4015,0.1845,0.5665,0.3127,0.0796,2026-02-23T18:45:45.940444,0
183,Twierdza Pozna?,Poland,52.4,16.9333,0.7082,0.4912,0.7668,0.4073,0.4531,upper_crust,20.8,10,,1.0,False,6.3857,0.3587,0.481,0.2998,0.1762,90.0,84.1726,-10.511,-25.3321,118.1833,22.3289,0.1845,0.5665,0.3146,0.0798,2026-02-23T18:45:45.940444,1
184,Twierdza Zegrze,Poland,52.4667,21.0333,0.6953,0.4912,0.7667,0.4073,0.4486,upper_crust,20.8,10,,1.0,False,6.3857,0.3548,0.482,0.3,0.1753,90.0,84.2056,-10.511,-27.6838,122.2833,22.3319,0.1845,0.5665,0.312,0.0786,2026-02-23T18:45:45.940444,0
185,Akershus Fortress,Norway,59.9069,10.7364,0.6953,0.4966,0.7258,0.4073,0.4439,upper_crust,20.8,10,,1.0,False,6.3857,0.3675,0.5642,0.286,0.1909,90.0,83.8471,-10.511,-20.0235,111.9864,22.6625,0.1845,0.5665,0.3174,0.0847,2026-02-23T18:45:45.940444,0
186,Bohus Fortress,Sweden,57.8667,11.9833,0.6953,0.494,0.737,0.4073,0.4449,upper_crust,20.8,10,,1.0,False,6.3857,0.3657,0.5427,0.2897,0.1872,90.0,83.9341,-10.511,-21.1479,113.2333,22.5719,0.1845,0.5665,0.316,0.0833,2026-02-23T18:45:45.940444,0
187,Varberg Fortress,Sweden,57.1,12.25,0.6953,0.4933,0.741,0.4073,0.4454,upper_crust,20.8,10,,1.0,False,6.3857,0.3651,0.5344,0.291,0.1858,90.0,83.9646,-10.511,-21.4767,113.5,22.5378,0.1845,0.5665,0.3156,0.0828,2026-02-23T18:45:45.940444,0
188,Karlskrona Naval Base,Sweden,56.1667,15.5833,0.6953,0.4912,0.747,0.4073,0.4458,upper_crust,20.8,10,,1.0,False,6.3857,0.3617,0.5241,0.2933,0.1833,90.0,84.0275,-10.511,-23.4934,116.8333,22.4963,0.1845,0.5665,0.3145,0.0817,2026-02-23T18:45:45.940444,0
189,Benten Daiba,Japan,35.6333,139.7667,0.718,0.6262,0.8396,0.5693,0.4977,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857,0.3516,0.3387,0.3241,0.1559,90.0,85.0,-10.511,-29.5708,241.0167,21.5837,0.1845,0.5665,0.3268,0.0776,2026-02-23T18:45:45.940444,16
190,Cabo de Rama Fort,India,15.0833,74.05,0.6953,0.4912,0.8735,0.4073,0.4646,upper_crust,20.8,10,,1.0,False,6.3857,0.2617,0.0564,0.3285,0.1053,90.0,85.0,-10.511,-83.5271,175.3,20.6704,0.1845,0.5665,0.285,0.0489,2026-02-23T18:45:45.940444,0
191,Corjuem Fort,India,15.6667,73.9,0.6953,0.4912,0.8723,0.4073,0.4644,upper_crust,20.8,10,,1.0,False,6.3857,0.2626,0.0611,0.3281,0.1057,90.0,85.0,-10.511,-83.0086,175.15,20.6963,0.1845,0.5665,0.285,0.0491,2026-02-23T18:45:45.940444,0
192,Colombo Fort,Sri Lanka,6.9333,79.8333,0.6953,0.4912,0.8977,0.4073,0.4684,upper_crust,20.8,10,,1.0,False,6.3857,0.2571,0.0098,0.3374,0.1035,90.0,85.0,-10.511,-86.2656,181.0833,20.3081,0.1845,0.5665,0.2859,0.0485,2026-02-23T18:45:45.940444,0
193,Karlsborg Fortress,Sweden,58.5167,14.5167,0.6953,0.4912,0.7345,0.4073,0.4441,upper_crust,20.8,10,,1.0,False,6.3857,0.3638,0.5496,0.2892,0.1878,90.0,83.932,-10.511,-22.2585,115.7667,22.6007,0.1845,0.5665,0.316,0.0834,2026-02-23T18:45:45.940444,0
194,Festung Wesel,Germany,51.6667,6.6167,0.6953,0.5009,0.7656,0.4073,0.4502,upper_crust,20.8,10,,1.0,False,6.3857,0.3688,0.4729,0.2981,0.1776,90.0,84.1083,-10.511,-19.2805,107.8667,22.2963,0.1845,0.5665,0.3139,0.08,2026-02-23T18:45:45.940444,0
195,Festung Minden,Germany,52.2833,8.9167,0.6953,0.4974,0.7641,0.4073,0.4494,upper_crust,20.8,10,,1.0,False,6.3857,0.3666,0.48,0.298,0.1781,90.0,84.1071,-10.511,-20.5896,110.1667,22.3237,0.1845,0.5665,0.3138,0.08,2026-02-23T18:45:45.940444,0
196,Festung Saarlouis,Germany,49.3167,6.75,0.6953,0.6124,0.7775,0.5556,0.4784,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3681,0.4445,0.3019,0.1735,90.0,84.1886,-10.511,-19.6575,108.0,22.1919,0.1845,0.5665,0.3259,0.083,2026-02-23T18:45:45.940444,0
197,Zitadelle Jülich,Germany,50.9167,6.3667,0.6953,0.5011,0.7691,0.4073,0.4508,upper_crust,20.8,10,,1.0,False,6.3857,0.3689,0.4639,0.2992,0.1764,90.0,84.1317,-10.511,-19.2206,107.6167,22.263,0.1845,0.5665,0.3136,0.0795,2026-02-23T18:45:45.940444,0
198,Twierdza Zamo??,Poland,50.7167,23.25,0.6953,0.4912,0.7754,0.4073,0.4499,upper_crust,20.8,10,,1.0,False,6.3857,0.3516,0.4613,0.3029,0.1715,90.0,84.2844,-10.511,-29.591,124.5,22.2541,0.1845,0.5665,0.3107,0.0772,2026-02-23T18:45:45.940444,0
199,Twierdza Kamieniec Podolski,Ukraine,48.6833,26.5667,0.6953,0.6037,0.7848,0.5556,0.4776,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.347,0.4369,0.3059,0.1668,90.0,84.3803,-10.511,-32.3457,127.8167,22.1637,0.1845,0.5665,0.3222,0.0797,2026-02-23T18:45:45.940444,0
200,Twierdza Chocim,Ukraine,48.5167,26.4833,0.6953,0.6037,0.7857,0.5556,0.4777,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.347,0.4348,0.3062,0.1665,90.0,84.3851,-10.511,-32.3603,127.7333,22.1563,0.1845,0.5665,0.3221,0.0795,2026-02-23T18:45:45.940444,0
201,Twierdza Ostroh,Ukraine,50.3333,26.5167,0.6953,0.4912,0.7764,0.4073,0.45,upper_crust,20.8,10,,1.0,False,6.3857,0.3481,0.457,0.3032,0.1699,90.0,84.3251,-10.511,-31.655,127.7667,22.237,0.1845,0.5665,0.31,0.0765,2026-02-23T18:45:45.940444,0
202,Twierdza Dubno,Ukraine,50.4,25.75,0.6953,0.4912,0.7764,0.4073,0.45,upper_crust,20.8,10,,1.0,False,6.3857,0.3489,0.4577,0.3032,0.1702,90.0,84.3164,-10.511,-31.1804,127.0,22.24,0.1845,0.5665,0.3101,0.0766,2026-02-23T18:45:45.940444,0
203,Fort Tiracol,India,15.9333,73.6667,0.6953,0.4912,0.8712,0.4073,0.4642,upper_crust,20.8,10,,1.0,False,6.3857,0.2631,0.0633,0.3277,0.1059,90.0,85.0,-10.511,-82.6606,174.9167,20.7081,0.1845,0.5665,0.2851,0.0492,2026-02-23T18:45:45.940444,0
204,Fort Chapora,India,15.6,73.7333,0.6953,0.4912,0.8718,0.4073,0.4643,upper_crust,20.8,10,,1.0,False,6.3857,0.2627,0.0605,0.3279,0.1057,90.0,85.0,-10.511,-82.9458,174.9833,20.6933,0.1845,0.5665,0.285,0.0491,2026-02-23T18:45:45.940444,0
205,Fort Sinquerim,India,15.5,73.7667,0.6953,0.4912,0.8721,0.4073,0.4644,upper_crust,20.8,10,,1.0,False,6.3857,0.2625,0.0597,0.328,0.1056,90.0,85.0,-10.511,-83.0395,175.0167,20.6889,0.1845,0.5665,0.285,0.049,2026-02-23T18:45:45.940444,0
206,Fort Gaspar Dias,India,15.5,73.8333,0.6953,0.4912,0.8723,0.4073,0.4644,upper_crust,20.8,10,,1.0,False,6.3857,0.2624,0.0597,0.3281,0.1056,90.0,85.0,-10.511,-83.0846,175.0833,20.6889,0.1845,0.5665,0.285,0.049,2026-02-23T18:45:45.940444,0
207,Fort Mormugao,India,15.4,73.8,0.6953,0.4912,0.8723,0.4073,0.4644,upper_crust,20.8,10,,1.0,False,6.3857,0.2623,0.0589,0.3281,0.1055,90.0,85.0,-10.511,-83.133,175.05,20.6844,0.1845,0.5665,0.2849,0.049,2026-02-23T18:45:45.940444,0
208,Fort Anjediva,India,14.7667,74.1167,0.6953,0.4912,0.8741,0.4073,0.4647,upper_crust,20.8,10,,1.0,False,6.3857,0.2612,0.0539,0.3287,0.1051,90.0,85.0,-10.511,-83.792,175.3667,20.6563,0.1845,0.5665,0.2849,0.0488,2026-02-23T18:45:45.940444,0
209,Fort Sadashivgad,India,14.8167,74.1333,0.6953,0.4912,0.8741,0.4073,0.4647,upper_crust,20.8,10,,1.0,False,6.3857,0.2613,0.0543,0.3287,0.1051,90.0,85.0,-10.511,-83.7697,175.3833,20.6585,0.1845,0.5665,0.2849,0.0488,2026-02-23T18:45:45.940444,0
210,Fort Devagad,India,16.9833,73.3167,0.6953,0.4912,0.8686,0.4073,0.4638,upper_crust,20.8,10,,1.0,False,6.3857,0.2648,0.0722,0.327,0.1067,90.0,85.0,-10.511,-81.6508,174.5667,20.7548,0.1845,0.5665,0.2853,0.0495,2026-02-23T18:45:45.940444,0
211,Fort Ratnagiri,India,16.9833,73.3,0.6953,0.4912,0.8686,0.4073,0.4638,upper_crust,20.8,10,,1.0,False,6.3857,0.2648,0.0722,0.3269,0.1067,90.0,85.0,-10.511,-81.6406,174.55,20.7548,0.1845,0.5665,0.2853,0.0495,2026-02-23T18:45:45.940444,0
212,Fort Viziadurg,India,16.5667,73.5667,0.6953,0.4912,0.87,0.4073,0.464,upper_crust,20.8,10,,1.0,False,6.3857,0.264,0.0687,0.3274,0.1064,90.0,85.0,-10.511,-82.1236,174.8167,20.7363,0.1845,0.5665,0.2852,0.0494,2026-02-23T18:45:45.940444,0
213,Fort Santo António de Zaire,Angola,-6.1167,12.3667,0.6953,0.4912,0.9664,0.4073,0.4797,upper_crust,20.8,10,,1.0,False,6.3857,0.3645,0.0306,0.3679,0.1409,90.0,85.0,-10.511,-21.8522,113.6167,20.2719,0.1845,0.5665,0.3103,0.0676,2026-02-23T18:45:45.940444,0
214,Fortaleza de São Miguel de Ambriz,Angola,-7.85,13.1167,0.6953,0.4912,0.9636,0.4073,0.4792,upper_crust,20.8,10,,1.0,False,6.3857,0.364,0.0422,0.367,0.1409,90.0,85.0,-10.511,-22.144,114.3667,20.3489,0.1845,0.5665,0.31,0.0675,2026-02-23T18:45:45.940444,0
215,Fort Amherst,Canada,47.5667,-52.6833,0.6953,0.5946,0.7902,0.4073,0.4722,upper_crust,20.8,10,,1.0,False,6.3857,0.4304,0.4486,0.3035,0.2131,75.0481,83.7431,-10.511,17.7202,48.5667,20.1205,0.1845,0.5665,0.3427,0.1006,2026-02-23T18:45:45.940444,0
