ID,Name,Country,Latitude,Longitude,cyan,magenta,yellow,black,earthResonance,activeLayer,layerFrequency,layerDepth,tectonicZone,tectonicAmplification,isDeepSubduction,pWaveVelocity,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase,compositeResonance,earthSpaceCoupling,timestamp,nearbyEarthquakes
30,Fort Jay,USA,40.6911,-74.0164,0.6953,0.6229,0.8191,0.4073,0.4823,upper_crust,20.8,10,,1.0,False,6.3857,0.4558,0.3784,0.3112,0.2333,59.4294,83.7937,-10.511,32.9519,27.2336,17.7324,0.1845,0.5665,0.3578,0.1125,2026-02-23T18:45:45.940444,0
31,Fort Wood,USA,40.6892,-74.0445,0.6953,0.6229,0.8191,0.4073,0.4823,upper_crust,20.8,10,,1.0,False,6.3857,0.4558,0.3784,0.3112,0.2334,59.4163,83.7935,-10.511,32.9649,27.2055,17.7306,0.1845,0.5665,0.3579,0.1126,2026-02-23T18:45:45.940444,0
32,Castillo San Felipe del Morro,Puerto Rico,18.4672,-66.1239,0.7158,0.5925,0.9265,0.285,0.4961,upper_crust,20.8,10,,1.0,False,6.3857,0.4756,0.0997,0.3492,0.233,46.2664,84.3257,-10.511,44.827,35.1261,14.9896,0.1845,0.5665,0.3645,0.1156,2026-02-23T18:45:45.940444,5
33,Citadel of Quebec,Canada,46.8072,-71.2075,0.6953,0.6229,0.7916,0.4073,0.4785,upper_crust,20.8,10,,1.0,False,6.3857,0.4454,0.4526,0.3028,0.2311,66.0219,83.629,-10.511,26.7156,30.0425,18.8832,0.1845,0.5665,0.3548,0.1106,2026-02-23T18:45:45.940444,0
34,Fort Independence,USA,42.34,-71.0117,0.6953,0.6196,0.8139,0.4073,0.4809,upper_crust,20.8,10,,1.0,False,6.3857,0.4515,0.397,0.31,0.2307,62.1437,83.7671,-10.511,30.3318,30.2383,18.1676,0.1845,0.5665,0.3558,0.1109,2026-02-23T18:45:45.940444,0
35,Fort McHenry,USA,39.2633,-76.5797,0.6953,0.6255,0.8229,0.4073,0.4834,upper_crust,20.8,10,,1.0,False,6.3857,0.4596,0.3621,0.312,0.2355,57.1078,83.816,-10.511,35.1919,24.6703,17.3594,0.1845,0.5665,0.3594,0.1138,2026-02-23T18:45:45.940444,0
36,Castillo de San Marcos,USA,29.8978,-81.3114,0.6953,0.6241,0.8565,0.4073,0.488,upper_crust,20.8,10,,1.0,False,6.3857,0.4763,0.2447,0.3219,0.2415,46.4963,84.0158,-10.511,45.2631,19.9386,15.5283,0.1845,0.5665,0.3648,0.1179,2026-02-23T18:45:45.940444,0
37,Fort Prince of Wales,Canada,58.7972,-94.2136,0.6953,0.801,0.7056,0.6806,0.5184,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857,0.435,0.5979,0.2707,0.2401,73.0032,83.0625,-10.511,20.457,7.0364,20.347,0.1845,0.5665,0.3792,0.1245,2026-02-23T18:45:45.940444,0
38,Fort Denison,Australia,-33.8547,151.2258,0.6953,0.6262,0.7748,0.6806,0.4855,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857,0.3871,0.2582,0.293,0.1574,90.0,85.0,-10.511,-8.2929,252.4758,21.5047,0.1845,0.5665,0.3215,0.0764,2026-02-23T18:45:45.940444,0
39,Fort Glanville,Australia,-34.8461,138.4847,0.6953,0.6262,0.7962,0.6806,0.4884,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857,0.3716,0.2787,0.3035,0.1547,90.0,85.0,-10.511,-17.6053,239.7347,21.5487,0.1845,0.5665,0.3216,0.0756,2026-02-23T18:45:45.940444,0
40,Fort Jervois,New Zealand,-43.6036,172.7417,0.7157,0.6262,0.6885,0.6806,0.4812,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857,0.4177,0.3755,0.2597,0.1882,82.322,85.0,-10.511,10.1004,273.9917,20.9142,0.1845,0.5665,0.3347,0.0906,2026-02-23T18:45:45.940444,2
