ID,Name,Country,Latitude,Longitude,earthResonance,spaceResonance,compositeResonance,earthSpaceCoupling,tectonicZone,isDeepSubduction
121,São Caetano,Mozambique,-20.15,34.7333,0.4925,0.1364,0.3145,0.0672,EAST_AFRICAN_RIFT,False
122,São Marçal,Mozambique,-25.9667,32.4667,0.4896,0.1442,0.3169,0.0706,EAST_AFRICAN_RIFT,False
123,São Tiago Maior,Mozambique,-23.8667,35.35,0.4901,0.1402,0.3151,0.0687,EAST_AFRICAN_RIFT,False
124,São João Baptista de Ajudá,Benin,6.3667,-2.0833,0.4724,0.1465,0.3095,0.0692,,False
125,Fort Anne,Canada,44.7417,-65.5183,0.4782,0.2258,0.352,0.108,,False
126,Fort Beauséjour,Canada,45.8667,-64.2833,0.4772,0.2248,0.351,0.1073,,False
127,Fort George,Canada,43.25,-79.0667,0.4818,0.2371,0.3594,0.1142,,False
128,Fort Mississauga,Canada,43.2667,-79.0833,0.4818,0.2371,0.3594,0.1142,,False
129,Fort Plaisance,Canada,47.25,-53.9667,0.4729,0.2144,0.3437,0.1014,,False
130,Fort William,Canada,47.5667,-52.7,0.4722,0.2132,0.3427,0.1007,,False
131,Castillo San Salvador de la Punta,Cuba,23.1333,-82.35,0.4903,0.2465,0.3684,0.1209,,False
132,Castillo de los Tres Reyes Magos del Morro,Cuba,23.15,-82.35,0.4903,0.2465,0.3684,0.1209,,False
133,Castillo del Príncipe,Cuba,23.1167,-82.4167,0.4903,0.2465,0.3684,0.1209,,False
134,Castillo de San Severino,Cuba,23.05,-81.5667,0.4904,0.2459,0.3681,0.1206,,False
135,Fort San Cristóbal,Puerto Rico,18.4667,-66.1167,0.4961,0.233,0.3645,0.1156,,False
136,Fort Conde de Mirasol,Puerto Rico,18.15,-65.4333,0.4962,0.2323,0.3642,0.1153,,False
137,Fortín San Juan de la Cruz,Puerto Rico,18.4667,-66.1667,0.4961,0.2331,0.3646,0.1156,,False
138,Fort Barrancas,USA,30.35,-87.3,0.4878,0.2452,0.3665,0.1196,,False
139,Fort Caroline,USA,30.3833,-81.5,0.4878,0.2415,0.3647,0.1178,,False
140,Fort Delgrès,Guadeloupe (France),15.9833,-61.7167,0.497,0.2289,0.3629,0.1138,,False
141,Fort Desaix,Martinique (France),14.6,-61.0667,0.493,0.2291,0.361,0.1129,,False
142,Fort Diamant,French Guiana,4.8833,-52.2667,0.4926,0.2222,0.3574,0.1095,,False
143,Fort Erie,Canada,42.9167,-79.0167,0.482,0.2371,0.3595,0.1143,,False
144,Fort Frederick,USA,39.6167,-78.0,0.4834,0.2366,0.36,0.1144,,False
145,Fort Gaines,USA,30.25,-88.0833,0.4878,0.2457,0.3668,0.1199,,False
146,Fort Jackson,USA,29.35,-89.45,0.488,0.2468,0.3674,0.1204,,False
147,Fort Macomb,USA,30.0667,-89.8,0.4878,0.2466,0.3672,0.1203,,False
148,Fort Macon,USA,34.7,-76.6833,0.4856,0.2363,0.3609,0.1147,,False
149,Fort Mifflin,USA,39.8667,-75.2167,0.4829,0.2344,0.3587,0.1132,,False
150,Fort Morgan,USA,30.2333,-88.0167,0.4878,0.2457,0.3668,0.1199,,False
151,Fort Pike,USA,30.1667,-89.7333,0.4878,0.2465,0.3671,0.1202,,False
152,Fort Pulaski,USA,32.0333,-80.9,0.4871,0.2404,0.3638,0.1171,,False
153,Fort San Carlos,USA,30.6667,-81.4667,0.4877,0.2413,0.3645,0.1177,,False
154,Fort Sumter,USA,32.75,-79.8667,0.4867,0.2393,0.363,0.1165,,False
155,Citadelle de Besançon,France,47.2361,6.0269,0.4798,0.1702,0.325,0.0817,MEDITERRANEAN_ALPINE,False
156,La Citadelle dArras,France,50.2825,2.7589,0.4518,0.1764,0.3141,0.0797,,False
157,La Citadelle de Blaye,France,45.1217,-0.6733,0.4824,0.1691,0.3257,0.0816,MEDITERRANEAN_ALPINE,False
158,LEnceinte de Briançon,France,44.8958,6.6433,0.4811,0.1662,0.3236,0.08,MEDITERRANEAN_ALPINE,False
159,La Place forte de Longwy,France,49.5167,5.7667,0.4785,0.1742,0.3263,0.0834,MEDITERRANEAN_ALPINE,False
160,La Place forte de Mont-Dauphin,France,44.6667,6.6167,0.4812,0.1658,0.3235,0.0798,MEDITERRANEAN_ALPINE,False
161,Villefranche-de-Conflent,France,42.5833,2.3667,0.4833,0.1641,0.3237,0.0793,MEDITERRANEAN_ALPINE,False
162,Neuf-Brisach,France,48.0178,7.5281,0.479,0.1711,0.3251,0.082,MEDITERRANEAN_ALPINE,False
163,Citadelle de Lille,France,50.6333,3.0667,0.4515,0.1769,0.3142,0.0799,,False
164,Fort de l'Étoile,France,44.2,5.95,0.4817,0.1653,0.3235,0.0796,MEDITERRANEAN_ALPINE,False
165,Fort Barraux,France,45.4167,5.9667,0.4809,0.1673,0.3241,0.0805,MEDITERRANEAN_ALPINE,False
166,Fort de Joux,France,46.8667,6.3667,0.48,0.1695,0.3247,0.0814,MEDITERRANEAN_ALPINE,False
167,Fort de Douaumont,France,49.3167,5.4667,0.4787,0.1739,0.3263,0.0832,MEDITERRANEAN_ALPINE,False
168,Komárno Star Fort,Slovakia,47.7667,18.1167,0.4843,0.1675,0.3259,0.0811,MEDITERRANEAN_ALPINE,False
169,Festung Ehrenbreitstein,Germany,50.3667,7.6167,0.4509,0.1751,0.313,0.079,,False
170,Festung Ulm,Germany,48.4,9.9833,0.4782,0.171,0.3246,0.0818,MEDITERRANEAN_ALPINE,False
171,Festung Ingolstadt,Germany,48.7667,11.4333,0.4818,0.1712,0.3265,0.0825,MEDITERRANEAN_ALPINE,False
172,Festung Germersheim,Germany,49.2167,8.3667,0.4781,0.1729,0.3255,0.0827,MEDITERRANEAN_ALPINE,False
173,Festung Landau,Germany,49.2,8.1167,0.4782,0.1729,0.3256,0.0827,MEDITERRANEAN_ALPINE,False
174,Festung Rastatt,Germany,48.85,8.2,0.4784,0.1723,0.3254,0.0824,MEDITERRANEAN_ALPINE,False
175,Zitadelle Spandau,Germany,52.5333,13.2,0.4484,0.1774,0.3129,0.0795,,False
176,Festung Küstrin,Poland,52.5833,14.65,0.4484,0.1771,0.3128,0.0794,,False
177,Festung Silberberg,Poland,50.5833,16.65,0.4544,0.1729,0.3136,0.0786,,False
178,Twierdza K?odzko,Poland,50.4333,16.65,0.4545,0.1727,0.3136,0.0785,,False
179,Twierdza Nysa,Poland,50.4667,17.3333,0.4545,0.1725,0.3135,0.0784,,False
180,Twierdza Modlin,Poland,52.45,20.6833,0.4486,0.1753,0.312,0.0786,,False
181,Twierdza Przemy?l,Poland,49.7833,22.7667,0.4812,0.1698,0.3255,0.0817,MEDITERRANEAN_ALPINE,False
182,Twierdza Boyen,Poland,54.0333,21.7667,0.4474,0.178,0.3127,0.0796,,False
183,Twierdza Pozna?,Poland,52.4,16.9333,0.4531,0.1762,0.3146,0.0798,,False
184,Twierdza Zegrze,Poland,52.4667,21.0333,0.4486,0.1753,0.312,0.0786,,False
185,Akershus Fortress,Norway,59.9069,10.7364,0.4439,0.1909,0.3174,0.0847,,False
186,Bohus Fortress,Sweden,57.8667,11.9833,0.4449,0.1872,0.316,0.0833,,False
187,Varberg Fortress,Sweden,57.1,12.25,0.4454,0.1858,0.3156,0.0828,,False
188,Karlskrona Naval Base,Sweden,56.1667,15.5833,0.4458,0.1833,0.3145,0.0817,,False
189,Benten Daiba,Japan,35.6333,139.7667,0.4977,0.1559,0.3268,0.0776,RING_OF_FIRE,False
190,Cabo de Rama Fort,India,15.0833,74.05,0.4646,0.1053,0.285,0.0489,,False
191,Corjuem Fort,India,15.6667,73.9,0.4644,0.1057,0.285,0.0491,,False
192,Colombo Fort,Sri Lanka,6.9333,79.8333,0.4684,0.1035,0.2859,0.0485,,False
193,Karlsborg Fortress,Sweden,58.5167,14.5167,0.4441,0.1878,0.316,0.0834,,False
194,Festung Wesel,Germany,51.6667,6.6167,0.4502,0.1776,0.3139,0.08,,False
195,Festung Minden,Germany,52.2833,8.9167,0.4494,0.1781,0.3138,0.08,,False
196,Festung Saarlouis,Germany,49.3167,6.75,0.4784,0.1735,0.3259,0.083,MEDITERRANEAN_ALPINE,False
197,Zitadelle Jülich,Germany,50.9167,6.3667,0.4508,0.1764,0.3136,0.0795,,False
198,Twierdza Zamo??,Poland,50.7167,23.25,0.4499,0.1715,0.3107,0.0772,,False
199,Twierdza Kamieniec Podolski,Ukraine,48.6833,26.5667,0.4776,0.1668,0.3222,0.0797,MEDITERRANEAN_ALPINE,False
200,Twierdza Chocim,Ukraine,48.5167,26.4833,0.4777,0.1665,0.3221,0.0795,MEDITERRANEAN_ALPINE,False
201,Twierdza Ostroh,Ukraine,50.3333,26.5167,0.45,0.1699,0.31,0.0765,,False
202,Twierdza Dubno,Ukraine,50.4,25.75,0.45,0.1702,0.3101,0.0766,,False
203,Fort Tiracol,India,15.9333,73.6667,0.4642,0.1059,0.2851,0.0492,,False
204,Fort Chapora,India,15.6,73.7333,0.4643,0.1057,0.285,0.0491,,False
205,Fort Sinquerim,India,15.5,73.7667,0.4644,0.1056,0.285,0.049,,False
206,Fort Gaspar Dias,India,15.5,73.8333,0.4644,0.1056,0.285,0.049,,False
207,Fort Mormugao,India,15.4,73.8,0.4644,0.1055,0.2849,0.049,,False
208,Fort Anjediva,India,14.7667,74.1167,0.4647,0.1051,0.2849,0.0488,,False
209,Fort Sadashivgad,India,14.8167,74.1333,0.4647,0.1051,0.2849,0.0488,,False
210,Fort Devagad,India,16.9833,73.3167,0.4638,0.1067,0.2853,0.0495,,False
211,Fort Ratnagiri,India,16.9833,73.3,0.4638,0.1067,0.2853,0.0495,,False
212,Fort Viziadurg,India,16.5667,73.5667,0.464,0.1064,0.2852,0.0494,,False
213,Fort Santo António de Zaire,Angola,-6.1167,12.3667,0.4797,0.1409,0.3103,0.0676,,False
214,Fortaleza de São Miguel de Ambriz,Angola,-7.85,13.1167,0.4792,0.1409,0.31,0.0675,,False
215,Fort Amherst,Canada,47.5667,-52.6833,0.4722,0.2131,0.3427,0.1006,,False
