ID,Name,Country,Latitude,Longitude,Region,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase
59,Vardøhus Fortress,Norway,70.3667,31.0833,Europe,0.3622,0.79,0.2692,0.229,90.0,83.6079,-10.511,-23.2222,132.3333,23.1274,0.1845,0.5665
60,Daugavgr?va Fortress,Latvia,57.05,24.0333,Europe,0.355,0.5342,0.2923,0.1832,90.0,84.068,-10.511,-27.5149,125.2833,22.5356,0.1845,0.5665
61,Daugavpils Fortress,Latvia,55.8833,26.5,Europe,0.3521,0.5216,0.294,0.1805,90.0,84.1314,-10.511,-29.2517,127.75,22.4837,0.1845,0.5665
62,Riga Old Town,Latvia,56.95,24.1167,Europe,0.3549,0.5331,0.2924,0.183,90.0,84.0723,-10.511,-27.5986,125.3667,22.5311,0.1845,0.5665
63,Pärnu Vallikäär,Estonia,58.3833,24.5,Europe,0.3556,0.5485,0.29,0.1856,90.0,84.0228,-10.511,-27.161,125.75,22.5948,0.1845,0.5665
64,Tartu Tähetorn,Estonia,58.3667,26.7167,Europe,0.3539,0.5486,0.2898,0.1851,90.0,84.0422,-10.511,-28.2011,127.9667,22.5941,0.1845,0.5665
65,Paldiski Muula mäed,Estonia,59.35,24.0667,Europe,0.3567,0.5586,0.2884,0.1874,90.0,83.983,-10.511,-26.5323,125.3167,22.6378,0.1845,0.5665
66,Birai Castle,Lithuania,56.2,24.75,Europe,0.3538,0.5249,0.2936,0.1814,90.0,84.105,-10.511,-28.2349,126.0,22.4978,0.1845,0.5665
67,Klaip?da Castle,Lithuania,55.7,21.1333,Europe,0.3566,0.5191,0.2946,0.1813,90.0,84.0922,-10.511,-26.5802,122.3833,22.4756,0.1845,0.5665
68,Trakai Island Castle,Lithuania,54.65,24.9333,Europe,0.3526,0.5075,0.2962,0.1785,90.0,84.1623,-10.511,-28.9882,126.1833,22.4289,0.1845,0.5665
69,Kaunas Castle and Fortress,Lithuania,54.9,23.9,Europe,0.3537,0.5103,0.2959,0.1792,90.0,84.1446,-10.511,-28.3422,125.15,22.44,0.1845,0.5665
70,Petersberg Citadel,Germany,50.9833,11.0333,Europe,0.364,0.4643,0.3008,0.1752,90.0,84.17,-10.511,-22.1137,112.2833,22.2659,0.1845,0.5665
71,Mainz Citadel,Germany,50.0,8.2667,Europe,0.3667,0.4527,0.3015,0.1743,90.0,84.179,-10.511,-20.5415,109.5167,22.2222,0.1845,0.5665
72,(City fortifications),Germany,53.55,10.0,Europe,0.3659,0.4947,0.2963,0.18,90.0,84.0725,-10.511,-21.0054,111.25,22.38,0.1845,0.5665
73,Forbidden City,China,39.9167,116.3972,Asia,0.3249,0.3767,0.337,0.1536,90.0,85.0,-10.511,-45.5735,217.6472,21.7741,0.1845,0.5665
74,Fort Orange,Brazil,-7.75,-34.8333,Americas,0.4417,0.0327,0.3413,0.1953,65.9828,84.6778,-10.511,24.48,66.4167,17.1421,0.1845,0.5665
75,Forte de São João Batista do Brum,Brazil,-8.05,-34.8833,Americas,0.4419,0.0347,0.3413,0.1955,65.9089,84.6756,-10.511,24.5708,66.3667,17.1456,0.1845,0.5665
76,Forte do Presépio,Brazil,-1.45,-48.5,Americas,0.4623,0.003,0.3625,0.2187,53.2831,84.5885,-10.511,36.8386,52.75,15.1689,0.1845,0.5665
77,Forte Príncipe da Beira,Brazil,-12.4167,-64.4167,Americas,0.4907,0.0545,0.359,0.2475,36.8703,84.4085,-10.511,53.8787,36.8333,13.4679,0.1845,0.5665
78,Fortaleza de Nossa Senhora da Assunção,Brazil,-3.7167,-38.5,Americas,0.4467,0.0111,0.3479,0.2011,62.7839,84.6651,-10.511,27.4561,62.75,16.5364,0.1845,0.5665
79,Forte de Nossa Senhora dos Remédios,Brazil,-3.8333,-32.4167,Americas,0.4367,0.0128,0.3393,0.1899,68.7461,84.7153,-10.511,21.4953,68.8333,17.3365,0.1845,0.5665
80,Forte de Santo Inácio de Tamandaré,Brazil,-8.75,-35.1,Americas,0.4424,0.0393,0.3412,0.1961,65.6415,84.6694,-10.511,24.8777,66.15,17.1411,0.1845,0.5665
81,Forte do Barbalho,Brazil,-12.9667,-38.5167,Americas,0.4487,0.0714,0.3427,0.2035,62.0813,84.6064,-10.511,28.6784,62.7333,16.8538,0.1845,0.5665
82,Forte de São Lourenço,Brazil,-12.8833,-38.6833,Americas,0.449,0.0706,0.343,0.2037,61.9223,84.6059,-10.511,28.8328,62.5667,16.8289,0.1845,0.5665
83,Fortaleza de Santa Cruz da Barra,Brazil,-22.8833,-43.1167,Americas,0.4564,0.1744,0.3367,0.2158,58.0176,84.4358,-10.511,33.3101,58.1333,16.7527,0.1845,0.5665
84,Fortaleza de Santo Antônio de Ratones,Brazil,-27.5833,-48.5667,Americas,0.4639,0.2289,0.3338,0.2276,53.8119,84.3046,-10.511,37.79,52.6833,16.4008,0.1845,0.5665
85,Fortaleza de São José da Ponta Grossa,Brazil,-27.5833,-48.5167,Americas,0.4638,0.2289,0.3337,0.2275,53.8557,84.305,-10.511,37.7462,52.7333,16.4067,0.1845,0.5665
86,Bihu Loukon,India,24.8167,93.95,Asia,0.2848,0.1672,0.35,0.1198,90.0,85.0,-10.511,-69.6805,195.2,21.103,0.1845,0.5665
87,Fort St. George,India,13.0833,80.2833,Asia,0.2559,0.0436,0.3381,0.1036,90.0,85.0,-10.511,-87.0219,181.5333,20.5815,0.1845,0.5665
88,Fort William,India,22.5667,88.35,Asia,0.2762,0.1374,0.3453,0.1147,90.0,85.0,-10.511,-74.8468,189.6,21.003,0.1845,0.5665
89,St. Angelo Fort,India,11.8667,75.3667,Asia,0.2569,0.0335,0.3309,0.1033,90.0,85.0,-10.511,-86.4149,176.6167,20.5274,0.1845,0.5665
90,Fortaleza de São João Baptista,Portugal,38.6667,-27.2167,Europe,0.4102,0.3199,0.3026,0.1752,86.6486,84.2167,-10.511,5.5779,74.0333,21.2717,0.1845,0.5665
91,Forte de Santo António da Barra,Portugal,38.7,-9.4167,Europe,0.3876,0.3126,0.3066,0.1633,90.0,84.369,-10.511,-7.9673,91.8333,21.72,0.1845,0.5665
92,Forte de Santa Luzia,Portugal,38.8833,-7.1667,Europe,0.3847,0.3143,0.3084,0.1626,90.0,84.3836,-10.511,-9.7304,94.0833,21.7281,0.1845,0.5665
93,Forte de São Bruno,Portugal,38.6667,-9.3167,Europe,0.3875,0.3122,0.3067,0.1632,90.0,84.3708,-10.511,-8.0406,91.9333,21.7185,0.1845,0.5665
94,Fort São Roque,Portugal,32.65,-16.9167,Europe,0.3993,0.2371,0.3061,0.16,90.0,84.4579,-10.511,-0.9555,84.3333,21.4511,0.1845,0.5665
