ID,Name,Latitude,Longitude,Country,City
237,River defense fort,50.65,5.58,Spain,
238,Antwerp,52.55,13.23,Germany,
239,Empire,50.93,6.36,Germany,
240,Roman Empire,50.36,7.61,Germany,
241,Gorgast,51.17,6.45,Germany,
242,Württemberg,51.65,6.62,Germany,
243,Westphalia,52.63,9.22,Germany,
244,Silesia,50.51,14.15,Czech,
245,Labem,47.75,18.13,Czech,
246,Bastions,60.17,24.94,Sweden,
247,Suomenlinna fortress,60.45,22.27,Sweden,
248,Petersburg,59.95,30.32,Russia,
249,York,43.07,-70.71,France,
250,Castle,12.05,-61.75,France,
251,George's,17.13,-61.87,France,
252,John's,18.34,-64.93,Netherlands,
253,Juan,18.47,-66.09,Spain,
254,Royal,13.08,-61.75,France,
255,Janeiro,-22.93,-43.12,Portugal,
256,Heritage Site,19.97,-75.87,Spain,
257,Plata,28.65,77.24,Spain,
258,Province,6.93,79.85,Netherlands,
259,Vredeburg,14.59,120.97,Netherlands,
260,Shahi,26.98,75.85,India,
261,Region,5.55,-0.18,Portugal,
262,Jesus,-4.05,39.67,Portugal,
263,Queenscliff,-38.27,144.66,Australia,
264,Lytton,-27.42,153.15,Australia,
265,Zealand,-18.13,178.43,New Zealand,
266,Division,-13.83,-171.75,France,
267,Kastellet,55.6911,12.6,Denmark,Copenhagen
268,Citadelle de Besançon,47.2333,6.0333,France,Besançon
269,Citadelle d'Arras,50.2833,2.7667,France,Arras
270,Citadelle de Blaye,45.1333,-0.6667,France,Blaye
271,Mont-Dauphin,44.6667,6.6167,France,Mont-Dauphin
272,Citadelle de Lille,50.6333,3.05,France,Lille
273,Villefranche-de-Conflent,42.5833,2.3667,France,Villefranche
274,Saint-Martin-de-Ré,46.2,-1.3667,France,Saint-Martin
275,Fort de Joux,46.8667,6.3667,France,La Cluse-et-Mijoux
276,Festung Königstein,50.92,14.0567,Germany,Königstein
277,Komárno Fortress,47.75,18.1167,Slovakia,Komárno
278,Fort Marlborough,-3.7833,102.25,Indonesia,Bengkulu
279,Fredericia Ramparts,55.5667,9.75,Denmark,Fredericia
280,Nyborg Fortress,55.3167,10.8,Denmark,Nyborg
281,Karlsborg Fortress,58.5333,14.5167,Sweden,Karlsborg
282,Trakai Castle,54.65,24.9333,Lithuania,Trakai
283,Kaunas Fortress,54.9,23.9,Lithuania,Kaunas
284,Biržai Castle,56.2,24.75,Lithuania,Biržai
